법정동명,행정동코드,법정동코드,교통량
봉천동,1121058,11620101,14751
봉천동,1121061,11620101,19784
봉천동,1121062,11620101,6009
남현동,1121063,11620103,22611
신림동,1121064,11620102,10075
신림동,1121065,11620102,6773
신림동,1121066,11620102,15398
신림동,1121068,11620102,10471
신림동,1121069,11620102,19766
신림동,1121071,11620102,9170
신림동,1121072,11620102,12333
신림동,1121073,11620102,10509
봉천동,1121078,11620101,10638
봉천동,1121079,11620101,4704
봉천동,1121080,11620101,11901
신림동,1121081,11620102,10533
신림동,1121082,11620102,8693
신림동,1121083,11620102,8034
서초동,1122051,11650108,22578
서초동,1122052,11650108,22103
방배동,1122053,11650101,8914
서초동,1122053,11650108,8914
서초동,1122054,11650108,14686
잠원동,1122055,11650106,21605
반포동,1122056,11650107,33376
반포동,1122057,11650107,21010
반포동,1122058,11650107,19681
잠원동,1122059,11650106,24190
반포동,1122060,11650107,18270
방배동,1122061,11650101,10066
방배동,1122062,11650101,12585
방배동,1122063,11650101,16168
방배동,1122064,11650101,20825
방배동,1122065,11650101,10076
양재동,1122066,11650102,9358
우면동,1122066,11650103,9358
양재동,1122067,11650102,16010
원지동,1122067,11650104,16010
내곡동,1122068,11650109,5052
염곡동,1122068,11650110,5052
신원동,1122068,11650111,5052
신사동,1123051,11680107,12085
압구정동,1123051,11680110,12085
논현동,1123052,11680108,15915
논현동,1123053,11680108,12495
삼성동,1123058,11680105,23000
삼성동,1123059,11680105,8189
대치동,1123060,11680106,9174
대치동,1123063,11680106,6627
역삼동,1123064,11680101,14891
역삼동,1123065,11680101,14112
도곡동,1123066,11680118,15125
도곡동,1123067,11680118,10497
개포동,1123068,11680103,21814
개포동,1123071,11680103,18703
일원동,1123072,11680114,1442
수서동,1123072,11680115,1442
일원동,1123073,11680114,13684
수서동,1123073,11680115,13684
개포동,1123074,11680103,7327
대치동,1123074,11680106,7327
일원동,1123074,11680114,7327
수서동,1123075,11680115,16782
세곡동,1123076,11680111,3985
자곡동,1123076,11680112,3985
율현동,1123076,11680113,3985
신사동,1123077,11680107,7318
압구정동,1123077,11680110,7318
청담동,1123078,11680104,23080
대치동,1123079,11680106,19604
개포동,1123080,11680103,7083
일원동,1123080,11680114,7083
풍납동,1124051,11710103,21767
풍납동,1124052,11710103,18405
거여동,1124053,11710113,30727
거여동,1124054,11710113,3113
마천동,1124055,11710114,2957
마천동,1124056,11710114,5854
방이동,1124057,11710111,11426
방이동,1124058,11710111,10935
방이동,1124059,11710111,13805
오금동,1124060,11710112,6468
송파동,1124061,11710104,12804
송파동,1124062,11710104,15294
석촌동,1124063,11710105,6484
삼전동,1124064,11710106,10507
가락동,1124065,11710107,7514
가락동,1124066,11710107,17372
가락동,1124067,11710107,6323
문정동,1124068,11710108,9819
문정동,1124069,11710108,9303
장지동,1124069,11710109,9303
문정동,1124070,11710108,9303
장지동,1124070,11710109,9303
잠실동,1124071,11710101,8612
신천동,1124075,11710102,9353
신천동,1124077,11710102,20877
잠실동,1124078,11710101,9772
잠실동,1124079,11710101,22139
잠실동,1124080,11710101,14092
상일동,1125051,11740103,12100
강일동,1125051,11740110,12100
상일동,1125052,11740103,6543
명일동,1125053,11740101,8896
명일동,1125054,11740101,5722
고덕동,1125055,11740102,4528
고덕동,1125056,11740102,25505
암사동,1125058,11740107,24595
암사동,1125059,11740107,17696
천호동,1125061,11740109,5655
천호동,1125063,11740109,11580
성내동,1125065,11740108,8196
성내동,1125066,11740108,10992
성내동,1125067,11740108,14826
둔촌동,1125070,11740106,16520
둔촌동,1125071,11740106,9257
암사동,1125072,11740107,6205
천호동,1125073,11740109,13706
길동,1125074,11740105,12288
