emd_code,ALL_AADT,,법정동,행정구역분류,법정기관코드,교통량
1117052,14749,,휘경동,1106072,11230109,13305 
1117054,8685,,휘경동,1106073,11230109,15737 
1117055,8659,,청량리동,1106080,11230107,11253 
1117056,6448,,신설동,1106081,11230101,5741 
1117061,9738,,용두동,1106081,11230102,5741 
1117062,4697,,제기동,1106082,11230103,20217 
1117064,14522,,전농동,1106083,11230104,7825 
1117065,4473,,전농동,1106084,11230104,9061 
1117067,15608,,답십리동,1106085,11230105,9061 
1117068,10588,,답십리동,1106086,11230105,7187 
1117069,7423,,장안동,1106087,11230106,15808 
1117070,21310,,장안동,1106088,11230106,9838 
1117071,12471,,이문동,1106089,11230110,7876 
1117072,12528,,이문동,1106090,11230110,10747 
1118051,12257,,면목동,1107052,11260101,14998 
1118052,13637,,면목동,1107054,11260101,15534 
1118053,14192,,면목동,1107055,11260101,21387 
1118054,9468,,면목동,1107057,11260101,8490 
1118055,8752,,상봉동,1107059,11260102,4170 
1118057,22149,,상봉동,1107060,11260102,9343 
1118058,8696,,중화동,1107061,11260103,9841 
1118059,23667,,중화동,1107062,11260103,17908 
1118060,3302,,묵동,1107064,11260104,13296 
1118061,8606,,묵동,1107065,11260104,10740 
1119054,19712,,망우동,1107068,11260105,9884 
1119055,7911,,신내동,1107069,11260106,12784 
1119056,21150,,신내동,1107070,11260106,3676 
1119061,16582,,면목동,1107071,11260101,8527 
1119062,26789,,면목동,1107072,11260101,7198 
1119063,18120,,망우동,1107073,11260105,5416 
1119065,7854,,돈암동,1108058,11290103,7856 
1119066,7277,,돈암동,1108059,11290103,2690 
1119067,7943,,안암동1가,1108060,11290121,1166 
1119068,11913,,안암동2가,1108060,11290122,1166 
1119069,13325,,안암동3가,1108060,11290123,1166 
1119070,9076,,안암동4가,1108060,11290124,1166 
1119071,11654,,안암동5가,1108060,11290125,1166 
1119072,10458,,보문동4가,1108061,11290126,909 
1119073,7620,,보문동5가,1108061,11290127,909 
1119074,19994,,보문동6가,1108061,11290128,909 
1119075,9342,,보문동7가,1108061,11290129,909 
1119076,10391,,보문동1가,1108061,11290130,909 
1120052,17736,,보문동2가,1108061,11290131,909 
1120053,11920,,보문동3가,1108061,11290132,909 
1120054,5374,,정릉동,1108062,11290133,6455 
